signal,horizon_bars,n_events,observed_mean_logret,observed_mean_bp,bootstrap_se_bp,t_stat,p_value,bh_significant_q10,ci95_lo_bp,ci95_hi_bp,spearman_ic,ic_ci95_lo,ic_ci95_hi,rank_by_p,operative_bh_threshold,mc_se_p,straddle_flag
H1,1,4609,0.000024841778631678635,0.24841778631678635,0.28888133389344556,0.8599302106809564,0.385564,false,-0.3285760894324765,0.80383873942983,-0.0009505739840130236,-0.02942101391191606,0.02851366323226461,9,0.045000000000000005,0.000344168855290539,false
H1,3,4609,0.00004771649274514408,0.4771649274514408,0.45456665304294275,1.0497138852074201,0.293035,false,-0.4266535332662149,1.3552477466621207,0.015412908420651359,-0.012968591809306268,0.04496595184428539,5,0.025,0.0003218427323826033,false
H1,6,4609,0.00015433953365254658,1.5433953365254658,0.5964651920539867,2.587569831544791,0.00995,false,0.37155387568995146,2.7096974285415794,0.010314813704661897,-0.017657815813974447,0.03782440762620536,1,0.005000000000000001,0.00007018189759475017,false
H1,12,4608,0.00021206550605460718,2.120655060546072,0.8247848845981414,2.571161402381077,0.01092,false,0.49288285395938136,3.7260396015840955,-0.009195663193448243,-0.03905730094972545,0.019597020970201558,2,0.010000000000000002,0.00007348725603803696,false
H1,48,4608,0.00023274441005533537,2.3274441005533535,1.4244045645033592,1.6339768620194313,0.103754,false,-0.4830643064199533,5.100601586433215,-0.003964186391988357,-0.03138403967406975,0.02458408276173595,3,0.015,0.00021562595795033583,false
H2,1,783,-0.00004835195492124628,-0.4835195492124628,1.084321236460729,-0.4459190993904088,0.657077,false,-2.6179226723490836,1.6326165745769743,0.05745441604927828,-0.012894035519106667,0.12725683702204557,17,0.085,0.00033565370254996443,false
H2,3,783,0.00010736444569158573,1.0736444569158572,1.444430357185071,0.7432995655174354,0.452392,false,-1.7913665836889023,3.870800416476576,0.026142515976905503,-0.04246693405380882,0.09672009183268636,12,0.06,0.000351947068702099,false
H2,6,783,0.00014497780446594093,1.4497780446594093,1.9751927016579962,0.7339932166833399,0.459547,false,-2.4663418533160333,5.276413537183313,0.045078826414866456,-0.020891761965196244,0.11273955026425403,13,0.065,0.0003523943492672662,false
H2,12,783,0.00008799862703502019,0.8799862703502018,2.7311441898245565,0.32220425184022616,0.745409,false,-4.484539446566475,6.221545777545785,0.06676643670961638,0.0014648580557480452,0.13372075497905747,19,0.095,0.0003080376784737542,false
H2,48,783,-0.00036833988325540303,-3.68339883255403,4.605138145857966,-0.799845458679023,0.425701,false,-12.80222003989188,5.249921491871345,0.01592631055420669,-0.05619150429370993,0.08836314628948741,11,0.05500000000000001,0.00034962813001745155,false
H3,1,62,0.0002654213372433441,2.654213372433441,2.76086998644767,0.9613684764086046,0.339397,false,-2.944553063428825,7.878057283446041,-0.17670166956258973,-0.40588189237168953,0.06307132819617688,7,0.034999999999999996,0.0003348183659769876,false
H3,3,62,-0.00024787071415194534,-2.4787071415194535,4.314091413154054,-0.5745606442092653,0.561223,false,-11.006284194564618,5.904954144999276,0.05341089370703331,-0.18684874031667775,0.28394754255510407,16,0.08000000000000002,0.0003508929639298856,false
H3,6,62,0.00014102058126100434,1.4102058126100434,6.847141643479239,0.20595540242007834,0.837915,false,-12.034226437777546,14.806568804661069,-0.015688348316587344,-0.2840514450046569,0.2643807163591291,20,0.1,0.00026058919084931366,false
H3,12,62,-0.000766560415295302,-7.665604152953019,9.502576115157302,-0.8066869509969851,0.413637,false,-26.4455345734774,10.804563797939222,0.03749590793482914,-0.2146282678986149,0.2857869411678011,10,0.05,0.0003482394522674018,false
H3,48,62,0.001600332647998562,16.00332647998562,16.97484665826118,0.9427670719014862,0.343717,false,-16.71609646230714,49.82530243807668,0.01110523532522475,-0.24074114116489997,0.25851466619517277,8,0.04000000000000001,0.00033583896729757253,false
H6,1,286,0.00006493338353177631,0.6493338353177631,1.9965995194132173,0.3252198695853621,0.7169,false,-3.4461889061973072,4.380481209902505,-0.00036907893133823814,-0.11251610157900382,0.11279671470801945,18,0.09000000000000001,0.0003185548539890736,false
H6,3,286,-0.0002455790591798363,-2.455790591798363,3.464107716950137,-0.7089244308951471,0.480002,false,-9.297183461082714,4.282118789361822,-0.024985284292087885,-0.14296847762165893,0.10066130187680694,14,0.06999999999999999,0.0003532704912641303,false
H6,6,286,-0.0005405197122055641,-5.405197122055641,4.248600072763821,-1.2722301533407037,0.198023,false,-14.034649562892202,2.6198627223419777,-0.014063215346912395,-0.12947708683474013,0.10010716482414417,4,0.020000000000000004,0.00028178883181471194,false
H6,12,286,-0.0006554085092966495,-6.554085092966495,6.5140676569267715,-1.0061432330990867,0.31206,false,-20.188561982637363,5.34658323251558,-0.014048339337171171,-0.12826158650163505,0.09991620005955777,6,0.03,0.00032762673608849443,false
H6,48,286,-0.0006174597982234811,-6.174597982234811,9.270968454047454,-0.666014344978075,0.512777,false,-24.928811060441284,11.413385279424736,0.02534641225270236,-0.0842748206744712,0.13549838081189672,15,0.07500000000000001,0.00035343793533730924,false
